iter	Passed	Remaining
0	55	55813
1	56	28112
2	56	18836
3	57	14203
4	57	11419
5	57	9555
6	58	8233
7	58	7238
8	58	6460
9	58	5838
10	59	5335
11	59	4912
12	59	4552
13	60	4246
14	60	3981
15	60	3749
16	61	3543
17	61	3362
18	62	3210
19	62	3064
20	62	2929
21	63	2806
22	63	2694
23	63	2591
24	64	2496
25	64	2410
26	64	2328
27	64	2254
28	65	2184
29	65	2120
30	65	2059
31	66	2003
32	66	1961
33	67	1912
34	67	1864
35	67	1819
36	68	1776
37	68	1736
38	68	1698
39	69	1660
40	69	1625
41	69	1590
42	70	1558
43	70	1527
44	70	1497
45	70	1469
46	71	1442
47	71	1416
48	71	1391
49	72	1368
50	72	1345
51	72	1322
52	72	1301
53	73	1281
54	73	1261
55	73	1242
56	74	1227
57	74	1208
58	74	1191
59	75	1175
60	75	1159
61	75	1143
62	75	1128
63	76	1114
64	76	1100
65	76	1086
66	77	1072
67	77	1059
68	77	1046
69	77	1033
70	78	1021
71	78	1009
72	78	997
73	78	987
74	79	979
75	79	970
76	80	959
77	80	949
78	80	941
79	81	932
80	81	923
81	81	913
82	81	902
83	81	893
84	82	885
85	82	876
86	82	868
87	83	860
88	83	852
89	83	844
90	83	837
91	84	829
92	84	822
93	84	815
94	84	808
95	85	801
96	85	794
97	85	787
98	85	781
99	86	774
100	86	768
101	86	762
102	86	757
103	87	751
104	87	745
105	87	740
106	87	734
107	88	728
108	88	723
109	88	718
110	89	714
111	89	709
112	89	704
113	90	700
114	90	695
115	90	690
116	90	685
117	91	680
118	91	676
119	91	671
120	91	667
121	92	662
122	92	657
123	92	653
124	92	649
125	93	645
126	93	640
127	93	636
128	93	633
129	94	629
130	94	625
131	94	621
132	94	618
133	95	614
134	95	610
135	95	606
136	95	603
137	96	600
138	96	596
139	96	593
140	96	589
141	96	585
142	97	582
143	97	579
144	97	576
145	97	572
146	98	569
147	98	566
148	98	563
149	98	560
150	99	557
151	99	554
152	99	552
153	100	549
154	100	546
155	100	543
156	100	541
157	101	538
158	101	536
159	101	533
160	101	530
161	102	528
162	102	525
163	102	523
164	102	520
165	103	518
166	103	516
167	103	514
168	104	511
169	104	509
170	104	507
171	104	505
172	105	502
173	105	500
174	105	498
175	105	495
176	106	493
177	106	491
178	106	489
179	106	487
180	107	485
181	107	483
182	107	481
183	108	479
184	108	476
185	108	474
186	108	472
187	109	470
188	109	468
189	109	466
190	109	464
191	109	462
192	110	460
193	110	458
194	110	457
195	110	455
196	111	453
197	111	451
198	111	449
199	111	447
200	112	446
201	112	444
202	112	442
203	112	440
204	113	439
205	113	437
206	113	435
207	113	433
208	114	432
209	114	430
210	114	428
211	114	427
212	115	425
213	115	424
214	115	423
215	116	421
216	116	419
217	116	418
218	116	416
219	117	415
220	117	414
221	117	413
222	118	412
223	118	410
224	118	409
225	119	407
226	119	406
227	119	405
228	119	403
229	120	402
230	120	400
231	120	399
232	120	397
233	121	396
234	121	395
235	121	393
236	121	392
237	122	391
238	122	389
239	122	388
240	122	386
241	123	385
242	123	384
243	123	383
244	123	381
245	124	380
246	124	379
247	124	377
248	124	376
249	125	375
250	125	374
251	125	372
252	125	371
253	126	370
254	126	369
255	126	367
256	126	366
257	127	365
258	127	364
259	127	363
260	127	362
261	128	361
262	128	360
263	128	359
264	129	358
265	129	357
266	129	356
267	130	355
268	130	354
269	130	353
270	131	353
271	131	352
272	132	351
273	132	350
274	132	349
275	132	348
276	133	347
277	133	346
278	133	345
279	133	344
280	134	343
281	134	342
282	134	341
283	134	340
284	135	339
285	135	338
286	135	337
287	135	336
288	136	335
289	136	334
290	136	333
291	136	332
292	137	331
293	137	330
294	137	329
295	138	328
296	138	327
297	138	326
298	138	325
299	139	324
300	139	323
301	139	322
302	139	321
303	140	320
304	140	319
305	140	318
306	140	317
307	141	316
308	141	315
309	141	315
310	141	314
311	142	313
312	142	312
313	142	311
314	142	310
315	143	310
316	143	309
317	143	308
318	143	307
319	144	306
320	144	305
321	145	305
322	145	304
323	145	304
324	146	303
325	146	302
326	146	301
327	146	300
328	147	300
329	147	299
330	147	298
331	147	297
332	148	296
333	148	295
334	148	295
335	148	294
336	149	293
337	149	292
338	149	291
339	149	290
340	150	290
341	150	289
342	150	288
343	150	287
344	151	286
345	151	286
346	151	285
347	151	284
348	152	283
349	152	283
350	152	282
351	152	281
352	153	280
353	153	279
354	153	279
355	153	278
356	154	277
357	154	276
358	154	276
359	154	275
360	155	274
361	155	273
362	155	273
363	156	272
364	156	271
365	156	271
366	157	270
367	157	270
368	157	269
369	157	268
370	158	268
371	158	267
372	158	266
373	158	265
374	159	265
375	159	264
376	159	263
377	160	263
378	160	263
379	160	262
380	161	261
381	161	261
382	161	260
383	161	259
384	162	258
385	162	258
386	162	257
387	162	256
388	163	256
389	163	255
390	163	254
391	163	254
392	164	253
393	164	252
394	164	252
395	164	251
396	165	250
397	165	250
398	165	249
399	165	248
400	166	248
401	166	247
402	166	246
403	166	246
404	167	245
405	167	244
406	167	244
407	167	243
408	168	242
409	168	242
410	168	241
411	168	241
412	169	240
413	169	239
414	169	239
415	169	238
416	170	237
417	170	237
418	170	236
419	170	236
420	171	235
421	171	235
422	172	234
423	172	234
424	172	233
425	172	232
426	173	232
427	173	231
428	173	231
429	174	230
430	174	230
431	175	230
432	175	230
433	176	229
434	176	229
435	176	228
436	176	227
437	177	227
438	177	226
439	177	226
440	177	225
441	178	224
442	178	224
443	178	223
444	178	223
445	179	222
446	179	222
447	179	221
448	179	220
449	180	220
450	180	219
451	180	219
452	180	218
453	181	217
454	181	217
455	181	216
456	181	216
457	182	215
458	182	215
459	182	214
460	182	213
461	183	213
462	183	212
463	183	212
464	183	211
465	184	211
466	184	210
467	184	210
468	185	209
469	185	208
470	185	208
471	186	208
472	186	207
473	186	207
474	187	206
475	187	206
476	187	205
477	187	205
478	188	204
479	188	204
480	188	203
481	188	203
482	189	202
483	189	202
484	190	201
485	190	201
486	190	200
487	190	200
488	191	199
489	191	199
490	191	198
491	191	198
492	192	197
493	192	196
494	192	196
495	192	195
496	193	195
497	193	194
498	193	194
499	193	193
500	193	193
501	194	192
502	194	192
503	194	191
504	194	191
505	195	190
506	195	190
507	195	189
508	195	189
509	196	188
510	196	188
511	196	187
512	196	187
513	197	186
514	197	186
515	197	185
516	198	185
517	198	184
518	198	184
519	198	183
520	199	183
521	199	182
522	199	182
523	199	181
524	200	181
525	200	180
526	200	180
527	201	179
528	201	179
529	201	178
530	201	178
531	202	177
532	202	177
533	202	176
534	202	176
535	203	175
536	203	175
537	203	174
538	203	174
539	204	173
540	204	173
541	204	173
542	205	172
543	205	172
544	205	171
545	205	171
546	206	170
547	206	170
548	206	169
549	207	169
550	207	169
551	207	168
552	207	168
553	208	167
554	208	167
555	209	166
556	209	166
557	209	165
558	209	165
559	210	165
560	210	164
561	210	164
562	210	163
563	211	163
564	211	162
565	211	162
566	211	161
567	212	161
568	212	160
569	212	160
570	212	160
571	213	159
572	213	159
573	213	158
574	213	158
575	214	157
576	214	157
577	214	156
578	215	156
579	215	155
580	215	155
581	215	154
582	216	154
583	216	154
584	216	153
585	216	153
586	216	152
587	217	152
588	217	151
589	217	151
590	218	150
591	218	150
592	218	150
593	218	149
594	219	149
595	219	149
596	220	148
597	220	148
598	220	147
599	221	147
600	221	146
601	221	146
602	221	146
603	222	145
604	222	145
605	223	145
606	223	144
607	223	144
608	224	143
609	224	143
610	224	143
611	225	142
612	225	142
613	225	141
614	225	141
615	226	140
616	226	140
617	226	140
618	226	139
619	227	139
620	227	138
621	227	138
622	228	138
623	228	137
624	228	137
625	228	136
626	229	136
627	229	135
628	229	135
629	229	134
630	230	134
631	230	134
632	230	133
633	230	133
634	231	132
635	231	132
636	231	131
637	231	131
638	232	131
639	232	130
640	232	130
641	232	129
642	233	129
643	233	129
644	233	128
645	233	128
646	234	127
647	234	127
648	234	127
649	235	126
650	235	126
651	235	125
652	235	125
653	236	124
654	236	124
655	236	124
656	237	123
657	237	123
658	237	122
659	237	122
660	238	122
661	238	121
662	238	121
663	238	120
664	239	120
665	239	120
666	239	119
667	240	119
668	240	118
669	240	118
670	240	118
671	241	117
672	241	117
673	241	116
674	241	116
675	242	116
676	242	115
677	242	115
678	242	114
679	243	114
680	243	113
681	243	113
682	243	113
683	244	112
684	244	112
685	244	111
686	244	111
687	245	111
688	245	110
689	245	110
690	245	109
691	246	109
692	246	109
693	246	108
694	247	108
695	247	108
696	247	107
697	247	107
698	248	106
699	248	106
700	248	106
701	249	105
702	249	105
703	249	104
704	249	104
705	250	104
706	250	103
707	250	103
708	251	103
709	251	102
710	251	102
711	251	101
712	252	101
713	252	101
714	252	100
715	252	100
716	253	99
717	253	99
718	253	99
719	254	98
720	254	98
721	254	98
722	254	97
723	255	97
724	255	96
725	255	96
726	255	96
727	256	95
728	256	95
729	256	94
730	256	94
731	257	94
732	257	93
733	257	93
734	257	93
735	258	92
736	258	92
737	258	91
738	259	91
739	259	91
740	259	90
741	260	90
742	260	90
743	260	89
744	260	89
745	261	88
746	261	88
747	261	88
748	262	87
749	262	87
750	262	87
751	262	86
752	263	86
753	263	85
754	263	85
755	263	85
756	264	84
757	264	84
758	264	83
759	264	83
760	265	83
761	265	82
762	265	82
763	265	82
764	266	81
765	266	81
766	266	81
767	266	80
768	267	80
769	267	79
770	267	79
771	267	79
772	268	78
773	268	78
774	268	78
775	268	77
776	269	77
777	269	76
778	269	76
779	269	76
780	270	75
781	270	75
782	270	75
783	270	74
784	271	74
785	271	73
786	271	73
787	271	73
788	272	72
789	272	72
790	272	72
791	273	71
792	273	71
793	273	71
794	274	70
795	274	70
796	274	69
797	274	69
798	275	69
799	275	68
800	275	68
801	276	68
802	276	67
803	276	67
804	277	67
805	277	66
806	277	66
807	277	66
808	278	65
809	278	65
810	278	64
811	278	64
812	279	64
813	279	63
814	279	63
815	279	63
816	280	62
817	280	62
818	280	62
819	281	61
820	281	61
821	281	60
822	281	60
823	282	60
824	282	59
825	282	59
826	282	59
827	283	58
828	283	58
829	283	58
830	283	57
831	284	57
832	284	57
833	284	56
834	284	56
835	285	55
836	285	55
837	285	55
838	285	54
839	286	54
840	286	54
841	287	53
842	287	53
843	287	53
844	287	52
845	288	52
846	288	52
847	288	51
848	288	51
849	289	51
850	289	50
851	289	50
852	289	49
853	290	49
854	290	49
855	290	48
856	291	48
857	291	48
858	291	47
859	291	47
860	292	47
861	292	46
862	292	46
863	292	46
864	293	45
865	293	45
866	293	45
867	294	44
868	294	44
869	294	44
870	294	43
871	295	43
872	295	42
873	295	42
874	295	42
875	296	41
876	296	41
877	296	41
878	296	40
879	297	40
880	297	40
881	297	39
882	297	39
883	298	39
884	298	38
885	298	38
886	298	38
887	299	37
888	299	37
889	299	37
890	299	36
891	300	36
892	300	36
893	300	35
894	301	35
895	301	34
896	301	34
897	302	34
898	302	33
899	302	33
900	302	33
901	303	32
902	303	32
903	303	32
904	304	31
905	304	31
906	304	31
907	304	30
908	305	30
909	305	30
910	305	29
911	305	29
912	306	29
913	306	28
914	306	28
915	307	28
916	307	27
917	307	27
918	307	27
919	308	26
920	308	26
921	308	26
922	308	25
923	309	25
924	309	25
925	309	24
926	309	24
927	310	24
928	310	23
929	310	23
930	310	23
931	311	22
932	311	22
933	311	22
934	311	21
